Cote;No de plan;Dates;Fichier en haute résolution (cliquer sur le lien);;Mention de crédits
VM165-1_1;64-68 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/64-68.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/64-68.jpg;Archives de la Ville de Montréal
VM165-1_1;68-56 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/68-56.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/68-56.jpg;Archives de la Ville de Montréal
VM165-1_1;68-60 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/68-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/68-60.jpg;Archives de la Ville de Montréal
VM165-1_1;68-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/68-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/68-64.jpg;Archives de la Ville de Montréal
VM165-1_1;68-68 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/68-68.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/68-68.jpg;Archives de la Ville de Montréal
VM165-1_1;72-56 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/72-56.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/72-56.jpg;Archives de la Ville de Montréal
VM165-1_1;72-60 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/72-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/72-60.jpg;Archives de la Ville de Montréal
VM165-1_1;72-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/72-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/72-64.jpg;Archives de la Ville de Montréal
VM165-1_1;72-68 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/72-68.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/72-68.jpg;Archives de la Ville de Montréal
VM165-1_1;76-56 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/76-56.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/76-56.jpg;Archives de la Ville de Montréal
VM165-1_1;76-60 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/76-60.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/76-60.jpg;Archives de la Ville de Montréal
VM165-1_1;76-64 ;1949;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/76-64.jpg;http://depot.ville.montreal.qc.ca/plans-utilisation-sol/jpeg/76-64.jpg;Archives de la Ville de Montréal
